Case,Aortic_velocity_mean_cm_s_change_percent,Pulmonary_velocity_mean_cm_s_change_percent,Aortic_pressure_mean_Pa_change_percent,Pulmonary_pressure_mean_Pa_change_percent,LV_von_Mises_peak_N_m_change_percent,RV_von_Mises_peak_N_m_change_percent,Mitral_stress_peak_N_m_change_percent,Tricuspid_stress_peak_N_m_change_percent
LV,188.54374740704714,119.73103363310487,-1.2471714817524517,-1.4148011287084044,281.0973688356704,192.51516930906243,391.2063724976418,141.40606281874292
BV,105.36816195135368,108.6245340561001,-0.45527635895204355,-1.3683558709464794,149.81487316842603,259.3305930710511,134.90200188659466,281.7727526840009
