Time (s),NB (cm/s),LV (cm/s),BV (cm/s)
0.9,3.2974,39.751,22.008
0.905,89.749,54.504,42.38
0.91,92.097,58.661,64.498
0.915,15.04,63.353,78.663
0.92,63.258,63.845,73.996
0.925,47.484,52.466,50.383
0.93,3.5608,27.784,14.585
0.935,36.522,8.6005,25.448
0.94,33.879,42.107,53.192
0.945,12.023,63.147,65.899
0.95,42.278,70.01,63.281
0.955,27.092,64.396,52.862
0.96,3.2711,48.394,37.929
0.965,21.092,26.358,21.907
0.97,11.709,8.642,7.6473
0.975,12.827,2.8212,4.8795
0.98,23.809,2.2437,15.017
0.985,11.166,8.6225,23.875
0.99,11.214,25.436,28.679
0.995,15.7,40.284,27.909
1.0,5.0953,43.404,21.44
