Case,N_points,Mean_N_per_m,Min_N_per_m,Min_time_s,Max_N_per_m,Max_time_s,Max_absolute_stress_N_per_m,Max_absolute_time_s,Mean_difference_vs_NB_N_per_m,Mean_change_vs_NB_percent
NB,201,0.020628411442786064,-3.1479,0.9,4.7705,0.605,4.7705,0.605,0.0,0.0
LV,201,0.6326404587064677,-19.158,0.905,23.433,0.615,23.433,0.615,0.6120120472636816,2966.840413093019
BV,201,0.1455322666666667,-9.3208,0.605,11.206,0.315,11.206,0.315,0.12490385522388062,605.4942988232891
