Time (s),NB (Pa),LV (Pa),BV (Pa)
0.835,10488.0,10499.0,10474.0
0.84,10500.0,10498.0,10482.0
0.845,10500.0,10498.0,10497.0
0.85,10204.0,9930.6,10142.0
0.855,9800.4,9798.9,9798.4
0.86,9797.7,9799.4,9800.2
0.865,9758.7,9735.7,9800.4
0.87,9788.8,9591.4,9800.6
0.875,9800.2,9508.9,9801.4
0.88,9800.4,9636.3,9799.7
0.885,9800.4,9804.4,9799.3
0.89,9799.8,9804.7,9800.7
0.895,9798.0,9801.0,9801.6
0.9,10128.0,10273.0,10210.0
0.905,8059.9,10186.0,9430.4
0.91,10927.0,7405.3,8714.2
0.915,11000.0,6897.8,9518.3
0.92,11000.0,8883.7,10571.0
0.925,11000.0,10812.0,10964.0
0.93,10715.0,11000.0,11000.0
0.935,10626.0,11000.0,11000.0
0.94,11006.0,11000.0,11000.0
0.945,11000.0,11001.0,11000.0
0.95,11000.0,11001.0,11001.0
0.955,10985.0,11002.0,11000.0
0.96,10926.0,11001.0,11000.0
0.965,10997.0,10996.0,10994.0
0.97,11000.0,10985.0,10955.0
0.975,11000.0,10827.0,10792.0
0.98,10963.0,10075.0,10644.0
0.985,10920.0,9957.3,10691.0
0.99,10981.0,10489.0,10833.0
0.995,11000.0,10935.0,10946.0
1.0,11000.0,11000.0,10998.0
