Case,N_points,Mean_N_per_m,Min_N_per_m,Min_time_s,Max_N_per_m,Max_time_s,Peak_change_vs_NB_percent,Peak_ratio_vs_NB
NB,201,21168.86762149254,0.19192,0.0,25545.0,0.6,,
LV,201,53132.946305870646,0.20748,0.0,74723.0,0.895,192.51516930906243,2.9251516930906245
BV,201,71310.97365850746,0.20536,0.0,91791.0,0.235,259.3305930710511,3.593305930710511
