Time_s,NB_Pressure_Pa,LV_Pressure_Pa,BV_Pressure_Pa
0.83,3500.2,3420.6,3497.8
0.835,3500.3,3449.2,3500.6
0.84,3496.0,3477.6,3500.3
0.845,3468.6,3495.8,3500.2
0.85,3172.9,2930.1,3142.8
0.855,2769.2,2799.0,2795.9
0.86,2773.7,2800.2,2800.7
0.865,2798.3,2788.0,2800.5
0.87,2800.3,2744.6,2800.7
0.875,2794.5,2714.5,2801.2
0.88,2778.9,2741.0,2800.7
0.885,2784.6,2794.1,2800.3
0.89,2795.2,2802.5,2800.2
0.895,2800.3,2800.6,2800.2
0.9,3280.5,3274.0,3280.4
0.905,4002.0,4000.3,4000.4
0.91,3999.8,4000.3,4000.6
0.915,3827.1,4000.4,4000.4
0.92,2922.4,4000.2,3999.9
0.925,3272.1,4000.0,3997.3
0.93,3990.4,3999.9,3997.7
0.935,4000.4,3950.7,3816.4
0.94,4000.1,3636.1,3479.0
0.945,3865.0,3315.9,3266.6
0.95,3377.2,3190.8,3313.4
0.955,3647.1,3293.2,3485.2
0.96,3998.8,3552.1,3691.9
0.965,4000.4,3819.2,3857.8
0.97,4000.6,3958.7,3965.6
0.975,3858.0,3991.7,4003.9
0.98,3698.2,3995.7,4000.2
0.985,3872.7,4000.2,4000.3
0.99,4006.6,4000.3,4000.4
0.995,4000.2,4000.4,4000.2
1.0,3999.0,4000.3,4000.2
